Date,Open,High,Low,Close,Adj Close,Volume
2011-09-13,60.520000,60.520000,60.520000,60.520000,43.156094,0
2011-09-14,61.270000,61.270000,61.270000,61.270000,43.690922,0
2011-09-15,62.580002,62.580002,62.580002,62.580002,44.625061,0
2011-09-16,62.410000,62.410000,62.410000,62.410000,44.503830,0
2011-09-19,61.259998,61.259998,61.259998,61.259998,43.683788,0
2011-09-20,60.869999,60.869999,60.869999,60.869999,43.405682,0
2011-09-21,58.500000,58.500000,58.500000,58.500000,41.715660,0
2011-09-22,55.209999,55.209999,55.209999,55.209999,39.369598,0
2011-09-23,54.709999,54.709999,54.709999,54.709999,39.013054,0
2011-09-26,56.490002,56.490002,56.490002,56.490002,40.282356,0
2011-09-27,57.560001,57.560001,57.560001,57.560001,41.045361,0
2011-09-28,55.650002,55.650002,55.650002,55.650002,39.683353,0
2011-09-29,56.259998,56.259998,56.259998,56.259998,40.118343,0
2011-09-30,54.599998,54.599998,54.599998,54.599998,38.934616,0
2011-10-03,52.480000,52.480000,52.480000,52.480000,37.422871,0
2011-10-04,53.919998,53.919998,53.919998,53.919998,38.449711,0
2011-10-05,55.830002,55.830002,55.830002,55.830002,39.811714,0
2011-10-06,57.139999,57.139999,57.139999,57.139999,40.745857,0
2011-10-07,56.490002,56.490002,56.490002,56.490002,40.282356,0
2011-10-10,59.009998,59.009998,59.009998,59.009998,42.079334,0
2011-10-11,58.980000,58.980000,58.980000,58.980000,42.057941,0
2011-10-12,59.830002,59.830002,59.830002,59.830002,42.664074,0
2011-10-13,59.840000,59.840000,59.840000,59.840000,42.671204,0
2011-10-14,62.049999,62.049999,62.049999,62.049999,44.247124,0
2011-10-17,60.790001,60.790001,60.790001,60.790001,43.348637,0
2011-10-18,62.529999,62.529999,62.529999,62.529999,44.589401,0
2011-10-19,61.799999,61.799999,61.799999,61.799999,44.068855,0
2011-10-20,62.090000,62.090000,62.090000,62.090000,44.275646,0
2011-10-21,63.450001,63.450001,63.450001,63.450001,45.245445,0
2011-10-24,64.360001,64.360001,64.360001,64.360001,45.894363,0
2011-10-25,63.139999,63.139999,63.139999,63.139999,45.024395,0
2011-10-26,64.510002,64.510002,64.510002,64.510002,46.001316,0
2011-10-27,67.470001,67.470001,67.470001,67.470001,48.112061,0
2011-10-28,67.809998,67.809998,67.809998,67.809998,48.354507,0
2011-10-31,64.779999,64.779999,64.779999,64.779999,46.193863,0
2011-11-01,62.709999,62.709999,62.709999,62.709999,44.717762,0
2011-11-02,64.510002,64.510002,64.510002,64.510002,46.001316,0
2011-11-03,66.190002,66.190002,66.190002,66.190002,47.199310,0
2011-11-04,66.000000,66.000000,66.000000,66.000000,47.063808,0
2011-11-07,66.400002,66.400002,66.400002,66.400002,47.349060,0
2011-11-08,67.489998,67.489998,67.489998,67.489998,48.126324,0
2011-11-09,64.339996,64.339996,64.339996,64.339996,45.880096,0
2011-11-10,65.360001,65.360001,65.360001,65.360001,46.607449,0
2011-11-11,66.599998,66.599998,66.599998,66.599998,47.491673,0
2011-11-14,65.849998,65.849998,65.849998,65.849998,46.956860,0
2011-11-15,65.739998,65.739998,65.739998,65.739998,46.878414,0
2011-11-16,65.029999,65.029999,65.029999,65.029999,46.372124,0
2011-11-17,63.459999,63.459999,63.459999,63.459999,45.252571,0
2011-11-18,63.270000,63.270000,63.270000,63.270000,45.117088,0
2011-11-21,61.910000,61.910000,61.910000,61.910000,44.147293,0
2011-11-22,61.360001,61.360001,61.360001,61.360001,43.755093,0
2011-11-23,59.349998,59.349998,59.349998,59.349998,42.321785,0
2011-11-25,58.770000,58.770000,58.770000,58.770000,41.908199,0
2011-11-28,61.150002,61.150002,61.150002,61.150002,43.605350,0
2011-11-29,61.910000,61.910000,61.910000,61.910000,44.147293,0
2011-11-30,65.449997,65.449997,65.449997,65.449997,46.671619,0
2011-12-01,65.029999,65.029999,65.029999,65.029999,46.372124,0
2011-12-02,64.949997,64.949997,64.949997,64.949997,46.315079,0
2011-12-05,65.680000,65.680000,65.680000,65.680000,46.835640,0
2011-12-06,65.550003,65.550003,65.550003,65.550003,46.742928,0
2011-12-07,65.059998,65.059998,65.059998,65.059998,46.393517,0
2011-12-08,63.150002,63.150002,63.150002,63.150002,45.031517,0
2011-12-09,64.459999,64.459999,64.459999,64.459999,45.965668,0
2011-12-12,62.639999,62.639999,62.639999,62.639999,44.667843,0
2011-12-13,62.070000,62.070000,62.070000,62.070000,44.261387,0
2011-12-14,60.389999,60.389999,60.389999,60.389999,43.063400,0
2011-12-15,60.340000,60.340000,60.340000,60.340000,43.027748,0
2011-12-16,57.610001,57.610001,57.610001,57.610001,43.383183,0
2011-12-19,56.509998,56.509998,56.509998,56.509998,42.554825,0
2011-12-20,58.770000,58.770000,58.770000,58.770000,44.256725,0
2011-12-21,59.240002,59.240002,59.240002,59.240002,44.610649,0
2011-12-22,60.060001,60.060001,60.060001,60.060001,45.228161,0
